n_qubits,trial,runtime_s,fidelity
1,0,2.5987625122070312e-05,0.21287601649255677
1,1,2.6941299438476562e-05,0.2381536919858827
1,2,2.002716064453125e-05,0.9926616546419569
2,0,1.4781951904296875e-05,0.23785173975562077
2,1,1.4066696166992188e-05,0.20259616516039364
2,2,1.2874603271484375e-05,0.8385336640852942
3,0,1.2636184692382812e-05,0.1997278139932661
3,1,1.2159347534179688e-05,0.019786002741499126
3,2,1.2159347534179688e-05,0.04862855846332588
4,0,1.3113021850585938e-05,0.06978907990135784
4,1,1.8835067749023438e-05,0.07604172461288153
4,2,1.3113021850585938e-05,0.10056173453588277
